"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"22#",39,719,,,152.5,,,,,90,,38
"14#",82,,3,,214,,,,,,,
"23#",66,908,,145,83.5,,,,,70,,41
"66#",121,,,,,161,53.5,,23,77,7,
,30,,,,,182.5,14.5,,82,6,,
"62#",120,,,,,221.2,,,,,2,
"48#",39,126,44,,248,,,,,,,33
"15#",75,,,,43.5,,,,,,,
"25#",30,7.5,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1760.5,47,145,741.5,564.7,68,0,105,243,,112
