"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"8#",30,379.5,37.5,31,11,,44,,,,,,,15
"5#",82,,,,,,,349.2,230.2,53.5,38,,64.7,
"7#",120,88,43.5,,,,,,,,,6,,6
"6#",28,,,,,,,448.7,622.7,290,48,,,
"68#",30,,,,,,,,30.2,,20,,,
,121,,,,,,,,4.2,,40,,,
"7#",120,409.7,,35.7,14.7,,,,,,,5,,9
"43#",39,12,4,,,,,,,,,,,
"21#",121,,,,,,,,,,,20,,
"10#",75,,,,,,,,,,,30,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",889.2,85,66.7,25.7,0,44,797.9,887.3,343.5,146,61,64.7,30
