"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"32#",24,534,,121.5,,,,,,,,
"4#",30,158,27.5,116.5,,,,,,120,,2
"8#",30,,,,,,,,,50,,
"3#",28,321.3,4,165.7,54,,,,,,,13
"31#",27,189.5,,74.5,,,,,,,,
"35#",66,710,36,138,72.5,,,,,8,,9
"34#",75,1127,,293,10,,,,,15,,40
"30#",117,313,,135.5,13,,9.7,,,,,40
"23#",66,,5,,54,,,,,50,,12
"39#",82,58,,22,5,246.7,298.5,,256,,,
"67#",27,,,,,129,324.5,,,,7,
"62#",120,,,,13.5,334.5,,,,,7,
"41#",39,,,,,138.5,616,,311,14,12,
"68#",30,,,,,,106.5,,,,40,
,121,,,,,97,,,,,,
"66#",30,,,,,229.5,52.2,,,100,30,
,121,,,,,280.2,,,,160,34,
"22#",39,,,,10,,,,,,,
,"合计：",3410.8,72.5,1066.7,232,1455.4,1407.4,0,567,517,,116
