"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"3#",28,707,6,305,147.5,,,,,,,45
"35#",66,542,,28.5,2.5,,,,,7,,3
"4#",30,326,,112.5,,,,,,,,7
"39#",82,46,,3.5,17,178.2,84.7,,,,,
"34#",75,875,,192,,,,,,7.5,,3
"18#",27,118.5,,289.5,,,,,,,,35.5
"67#",27,,,,,360,122,,63,,2,
,24,,,,,191.7,69.5,,140,8,,
"41#",39,,,,,66.2,79.5,,11,,,
"66#",121,,,,,140.7,77,,,60,,
,30,,,,,55.2,59,,,,4,
"62#",120,,,,26,506.5,,,,,11,
"23#",66,45,3,3,,,,,,35,,
"17#",24,132.5,,248,,,,,,,,41
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",2792,9,1182,193,1498.5,491.7,0,214,117.5,,134.5
