"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"18#",27,200,,601.5,104,,,,,20,,42
"17#",24,161,,408.5,89.5,,,,,,,
"3#",28,384.5,,129.5,69,,,,,,,12
"4#",30,333.5,,196,,,,,,,,16
"35#",66,1151.9,,315.5,71,,,,,,,18
"23#",66,299.5,2,,,,,,,,,
"39#",82,61,,23,5,558.7,193.2,,82,,,
"22#",75,,,,,,,,,84,,
"66#",30,,,,,275.2,,,,,4,
,121,,,,,339.5,,,,18,,
"67#",27,,,,,313,,,,6,,
,24,,,,,125,,,,7,,
"34#",75,593,,322,118,,,,,,,5
"62#",120,,,,19.5,397.7,,,,,,
"41#",39,,,,,273.5,273.5,,,6,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",3184.4,2,1996,476,2282.6,466.7,0,82,141,,93
