"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,,
"46#",75,72.5,,386.5,415,,,,,,,16
"17#",24,703,,174,26.5,,,,,32,,8.5
"45#",66,123,,419,37,,,,,,,80
"66#",30,,,,,98.2,,,,,,
,121,,,,,89.7,,,,2,,
"18#",27,567.5,45,35,116.5,,,,,8,,2
"62#",120,7,,1,,50,,,,2.5,,
"25#",30,,,,,,,,,11,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1473,45,1015.5,595,237.9,0,0,0,55.5,,106.5
