"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"3#",28,753,,61,72,,,,,,,4
"4#",30,441.8,37.8,47.5,,,,,,20,,12
"66#",30,,,,,,66.7,,,,,
,121,,,,,40.2,15,,,,14,
"39#",82,2,,,3,,52,,,,,
"41#",39,,,,,,22.5,,,,7,
"67#",27,,,,,,190.2,,196,,,
,24,,,,,,428.7,,90,,25,
"62#",120,,,,3.5,40,,,,,22,
"18#",27,14.5,,7.5,,,,,,,,
"48#",39,,,,,,,,,,,85
"17#",24,32.5,2.5,10,,,,,,,,4.5
"35#",66,1.6,,,,,,,,45,,
"34#",75,261.5,,6,25.5,,,,,40,,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1506.9,40.3,132,104,80.2,775.1,0,286,105,,108.5
