"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"14#",82,,,,275,,,,,,,2
"67#",27,,,,,,22.2,,,,,
,24,,,,,,129.5,,,,,
"25#",30,216.5,24,430,,,,,,,,49
"27#",66,88,,364.6,68,,,,,,,5
"26#",120,73,3,588,176.5,,,,,5,,5
"15#",75,,,,511.5,,,,,,,
"34#",75,,,,4,,,,,40,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",377.5,27,1382.6,1035,0,151.7,0,0,45,,61
