"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"26#",120,61,,87,9,,,,,5,,4
"67#",27,,,,,,184.7,,,,,
,24,,,,,,415,,,30,7,
"27#",66,93,,234,86,,,,,20,,37
"3#",28,59.5,67.5,,,,,,,30,,
"62#",120,,,,,,,,,140,24,
"35#",66,5,,,,,,,,60,,56
"4#",30,250,15,18,,,,,,,,
"25#",30,83,33,182.5,,,,,,,,
"15#",75,,,,43,,,,,,,22
"34#",75,26.5,,,,,,,,,,
"66#",30,,,,,,,,,25,5,
,121,,,,,3.7,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",578,115.5,521.5,138,3.7,599.7,0,0,310,,119
