"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"6#",28,,,,,91.7,44.5,,,,,
"5#",82,,,,,418,,,,,10,
"8#",30,112,,15,,,,,,,,
"41#",39,,,,,105.5,,,,,3,
"23#",66,15,2,7,256.5,,,,,3,,20
"7#",120,105.5,28,3,20,,,,,80,,19
"22#",39,,,,283.5,,,,,,,1
"68#",30,,,,,,,,,30,31,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",232.5,30,25,560,615.2,44.5,0,0,113,,40
