"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"12#",122,512,21.5,192.5,68,39,8,,,,,,,45.5
"67#",24,,,,,,,204.7,4.3,,,,6,
,27,,,,,,,262.5,,,,,,
"32#",24,259,13.5,41.5,71.5,6,22,,,,,6,,
"31#",27,201,9,59.5,,,35,,,,,,,16
"3#",28,,,,45,,309,,,,,8,,6
"34#",75,144.5,,126.5,73,187,,,,,,,,
"9#",66,530.5,,277.5,19,,133.5,,,,,12,,17
"13#",120,,,4.5,,,,,51.2,,,,7,
"30#",121,141,64,20,,2,3.5,,,,,,,
"41#",39,,,,,,,200.7,314.7,65,,,66.5,
"4#",30,,,,,,106,,,,,40,,27
"39#",82,,,,,,41.5,247.5,131.5,56,60,,164,3
"68#",121,,,,,,,62,,,,,,
"5#",82,,,,,,,,178,,,,,
"35#",66,133,8.5,149,62,,4,,,,,,,19
"10#",75,120,,68,,15,7.5,,,,,,,11
"7#",120,,,,,,,,,,,60,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",2041,116.5,939,338.5,249,670,977.4,679.7,121,60,126,243.5,144.5
