"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"14#",82,,,,67,,,,,,,
"23#",66,980,,,,,,,,,,
"66#",30,,,,,265.2,,,,7,,
,121,,,,,390.7,,,,84,,
"48#",39,,,6.5,204.5,,,,,62,,4
"27#",66,,,,3.5,,,,,24,,12
"62#",120,25,8,14.5,,662,,,,,,30
"15#",75,,,,7,,,,,14,,
"26#",120,,,,,,,,,50,,23
"22#",39,88.5,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1093.5,8,21,282,1317.9,0,0,0,241,,69
