"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"32#",24,221,9,,,,,,,,,,,1
"9#",66,393.6,28.5,32.9,,,,,,,,,,1
"10#",75,888,,85.8,,22,7,,,,,8,,16.5
"12#",122,726,120,33.9,,,,,,,,,,21.4
"31#",27,104.1,8.2,4.5,,,,,4.2,,,,2,6
"39#",82,,,,,,9,3.2,348.2,84,,,,
"67#",27,,,,,,,,122.8,,,,,
,24,,,,,,,,250.2,,,,,
"30#",121,246,38,16,19,,9,3.7,11.2,,,,,7
"13#",120,,,,,,,,12.2,,,,,
"68#",30,,,,,,,,219.7,132,,,,
,121,,,,,,,,298,36.5,,,,
"3#",28,,,19.7,,17,262.2,,,,,,,8
"4#",30,,,,,16.5,235.7,,,,,,,53.4
"34#",75,,,,,,,,,,,24,,
"41#",39,,,,,,,,219.2,48,130,,,
,,,,,,,,,,,,,,
,"合计：",2578.7,203.7,192.8,19,55.5,522.9,6.9,1485.7,300.5,130,32,2,114.3
