"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"23#",66,261,29,83,,,,,,,,3
"22#",39,497.8,,149.5,42.7,,,,,20,,68
"30#",120,,,,,,,,,60,,
"68#",30,,,,,,21,,,,2,
"34#",75,,,,,,,,,13,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",758.8,29,232.5,42.7,0,21,0,0,93,,71
