"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"8#",30,728,71,262,55.5,,,,,,,40,,18
"23#",66,4,,4,,,161.5,,,,,30,,7
"9#",66,,,,,,,,,,,40,,
"7#",120,1089,154,31,,9,7,,,,,12,,14
"6#",28,3.5,,,,,,565.7,,,,,,
"68#",121,,,,,,,10.7,,,,,,
,30,,,,,,,11.7,35,,,,,
"31#",27,,,,,,,,4.2,,30,,7,
"5#",82,,,,,,,856,,,,,,
"12#",,,,,,,,,,,,180,,6
"4#",30,,,,,,,,,,,42,,
"22#",39,,,,,33,381.5,,,,,,,18
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",1824.5,225,297,55.5,42,550,1444.1,39.2,0,30,344,7,63
