"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"7#",120,971.4,174,245.1,156.8,47,,,,,,,,42
"8#",30,650.5,166.3,222.2,83.9,,3.6,,,,,28,,157
"68#",121,,,,,,,,126.5,,,,,
,30,,,,,,,,166.3,,,,,
"6#",28,36,,,,,,310,10,20.8,,,611,
"5#",82,,,,,,,569.9,43,27.5,,,44.9,
"16#",24,,,,,,,89.6,15.1,,,,,
"30#",,,,,,2.6,11.2,,6.6,,,,,10
"24#",66,,,,,,,,,,,34,,
"10#",75,,,,,6.5,12,,,,,,,
"43#",39,387.1,34,3.5,,,,,,,,24,,8
"11#",28,,,,,,,20.5,88,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",2045,374.3,470.8,240.7,56.1,26.8,990,455.5,48.3,0,86,655.9,217
