"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"6#",28,269,,75,26.5,,3,880.2,238.7,,166,37,7,6
"7#",120,59,,2,,,,,,,,,,45
"31#",27,15,,,,,,,8,,40,,,
"8#",30,185,,103.5,52,,,,,,,17,,84
"5#",82,,,,,,,362.5,200.7,95.5,110,,14,
"13#",120,,,,,,,,,,,,,40
"30#",121,,,,,,4.5,7.5,,,20,,,53.5
"41#",39,,,,,,,,,,28,,18,
"68#",30,,,,,,,153.7,42.2,45.5,4,,,
,121,,,,,,,70.5,171.7,16,,,,
"32#",24,7.5,,,,,,,,,,50,,
"9#",66,24,1,5,,,,,,,,70,,20
"10#",75,105,,3.5,,,6,,,,,50,,
"12#",122,73,1,9.5,,,,,,,,50,,
"67#",24,,,,,,,9.1,91,,,,,
"39#",82,,,,,,,11.2,12.5,,,,,
"4#",30,,,,,,126,,,,,,,21
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",737.5,2,198.5,78.5,0,139.5,1494.7,764.8,157,368,274,39,269.5
