"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"8#",30,174,,73.5,52,,,,,,,,,
"5#",82,,,,,,,,80.5,44,,,31,
"68#",121,,,,,,,,159.6,9.5,2,,5,
,30,,,,,,,,218.2,67,,,,
"32#",24,,,,,8,24,,,,,5,,3
"16#",24,,,,,,,,152.7,21.7,,,,
"6#",28,145.4,2.9,44.2,3.2,7,,66.5,,,30,2,73,
"43#",39,1020,,84.4,51.7,45,165.7,,,,,,,24
"11#",28,,,,,,,9.7,497.7,,,,,4
"42#",82,13.2,,2.8,,,122.9,,2.7,,,,,6
"9#",66,38.3,8.1,,,,,,,,,120,,
"12#",122,30,,8,,,,,,,,63,,
"10#",75,20,3,,,9.1,62.5,,,,,,,
"30#",121,,,,,,62.9,,7.1,,,,,
"28#",75,56.2,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",1497.1,14,212.9,106.9,69.1,438,76.2,1118.5,142.2,32,190,109,37
