"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"4#",30,292.5,,40,,,,,,,,66
"67#",27,,,,,23,,,,,,
,24,,,,,241,,,,,,
"3#",28,113.5,,,,,,,,110,,7
"30#",121,115,,4,25.5,,,,,,,
"31#",27,57,2.5,43.5,,84,,,,15,,5
"68#",30,,,,,361.5,,,,15,,
,121,,,,,267.2,,,,40,,
"39#",82,,,,,,37,,,30,10,
"62#",,,,,,,,,,50,6,
"34#",75,6,,,,,,,,70,,
"41#",,,,,,,,,,110,,
"35#",66,,,,,,,,,20,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",584,2.5,87.5,25.5,976.7,37,0,0,460,,78
