"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"3#",28,669,14,138.5,,,,,,,,24
"31#",27,326.5,,183,7.5,5.5,6.5,,,,,24
"34#",75,70,,3,,,,,,,,
"4#",30,446.5,63,168,,,,,,,,75.5
"39#",82,4,,,7,,279.7,,,,3,
"30#",121,261.5,20,16,43.5,,,,,,,21
"67#",24,,,,,235.8,249.2,,,,,
,27,,,,,17.8,80.1,,,,,
"62#",120,,,,13,,,,,,149.3,
"68#",30,,,,,422.2,112.2,,112,15,3.5,
,121,,,,,260,163,,94,,,
"35#",66,50.5,1,1,,,,,,30,,
"66#",121,,,,,83.2,213.7,,,,9,
,30,,,,,,28,,,,,
"32#",24,92.5,9,13,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1920.5,107,522.5,71,1024.5,1132.4,0,206,45,,144.5
