"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"23#",66,687.5,,121,43.5,,,,,,,20
"66#",30,,,,,87.7,,,,,,
"22#",39,988,,25,20,,,,,20,,52
"39#",82,,,,,111,189,,87,110,20,
"41#",39,,,,,171.2,443.7,,36,191,22,
"4#",30,,,,,,,,,75,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1675.5,0,146,63.5,369.9,632.7,0,123,396,,72
