"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"23#",66,99,8,,12,,,,,110,,20
"17#",24,517,,178,44,,,,,,,10
"18#",27,627.5,50,127.5,96,,,,,,,2
"46#",75,16,,54,59,,,,,7,,
"66#",30,,,,,"切187.7",,,,,,
,121,,,,,"切247",,,,49,,
"62#",120,47,,4,,570.5,,,,20,,
"42#",39,,,,,,,,,30,,6
"27#",66,,,,,,,,,30,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1306.5,58,363.5,211,570.5,0,0,0,246,,38
