"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"4#",30,243,14.5,148,76,,,,,30,,29
"35#",66,540,16,12,,,,,,,,4
"23#",66,,,,25,,,,,,,
"34#",75,730,,68,,,,,,3,,8
"31#",27,454.5,1.5,305,208,,8.7,,,,,4
"41#",39,,,,,51,250,,,,12.5,
"30#",121,602,6,152.5,47.5,,11.2,,,,,
"3#",28,724.5,71,418.5,,,,,,,,45
"32#",24,977,,796,123,,,,,30,,42
"23#",39,,,,,,,,,15,,5
"39#",82,47.5,6,3,16.5,,638,,187,,,
"62#",120,,,,17.5,427,,,,,19.5,
"68#",30,,,,,188,83.5,,,90,,
,121,,,,,285,111.2,,39,,,
"66#",30,,,,,,201.5,,,,,
,121,,,,,145.2,260.5,,,,,
"67#",27,,,,,63.8,298.1,,,,,
,24,,,,,207.7,130.7,,,,,
,"合计：",4318.5,115,1903,513.5,1367.7,1993.4,0,226,168,,137
