"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"68#",30,,,,,,,,115.2,42.5,,,,
,121,,,,,,,,242.2,48,15,,6,
"32#",24,753,13,101.5,273,,50,,,,,40,,15
"9#",66,1128,,157.6,3.5,32,,,,,,15,,20.3
"31#",27,217.5,11.5,22.4,,,29.6,,20.2,,,8,,14
"13#",120,14,,56,,,4,,31,,,,,15
"3#",28,11.3,,215,,,442.5,,,,,,,
"4#",30,,,,,,234,,,,,,,2
"67#",24,,,,,,,,86.4,,,,,
,27,,,,,,,109.2,150.1,,,,,
"39#",82,,,,,,32,,446.7,163,7,,"182膜平",
"41#",39,,,,,,,,182.7,63,,,"542.2膜平",
"7#",120,,,,,,,,,,,28,,7
"34#",75,24,,9,,,,,,,,,,4
"12#",122,739.2,,78.9,,5,,,,,,,,42.1
"10#",75,718.5,,444.4,16,84,,,,,,,,29.3
"35#",,1.8,2.7,1.5,,,,,,,,,,
"30#",,515.4,128.7,49,,35,50,,,,,20,,32
"5#",82,,,,,,,,10.2,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",4122.7,155.9,1135.3,292.5,156,842.1,109.2,1284.7,316.5,22,111,6,180.7
