"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"67#",24,,,,,45,38.7,,,,37,
"68#",30,,,,,80.5,52,,,,,
,121,,,,,70,,,,20,18,
"31#",27,5,,2,,,13.5,,,,,
"62#",120,,,,,,,,,128,31,
"30#",121,1,,1,25.5,,,,,,,7.5
"34#",75,,,,,,,,,100,,20
"4#",30,,,,,,,,,,,59
"35#",66,,,,3,,,,,60,,11
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",6,0,3,28.5,195.5,104.2,0,0,308,,97.5
