"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"34#",75,212.5,,122.5,4,,,,,30,,21
"67#",27,,,,,75.6,,,,,,
"23#",66,,,,164,,,,,,,
"35#",66,747.5,13,109.5,20,,,,,5,,
"39#",82,4,,5,,434.7,,,,50,,21
"8#",30,2,,3,23,,,,,120,,
"5#",82,,,,,35.7,,,,,,
"66#",121,,,,,105.7,,,,,,
,30,,,,,169.2,,,,,17,
"41#",39,,,,,628.2,53,,34,,,
"22#",39,,,,83,,,,,165,,17
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",966,13,240,294,1449.1,53,0,34,370,,59
